#   2MASS JHK light curves for RR Lyrae star SDSSJ015450+001501 (2969 epochs) 
#   For details, see Szabo et al. (2013) 
#   sourceID     ra        dec        mjd_bjd      J     Jerr Jq    H     Herr Hq    K     Kerr Kq
   180888344 28.709027  0.250383  50660.3855513 14.483  0.032  A 14.175  0.041  A 14.463  0.127  B
   183104351 28.709044  0.250391  50660.3859514 14.470  0.030  A 14.371  0.045  A 14.123  0.089  A
   183104445 28.709028  0.250380  50660.3876515 14.461  0.034  A 14.181  0.047  A 14.171  0.103  A
   183107252 28.708985  0.250399  50660.3880516 14.458  0.035  A 14.208  0.046  A 14.031  0.085  A
   183107364 28.708965  0.250395  50660.3914519 14.350  0.030  A 14.108  0.037  A 14.221  0.100  A
   183110347 28.708989  0.250387  50660.3931521 14.373  0.029  A 14.132  0.047  A 14.162  0.092  A
   183110428 28.708990  0.250398  50660.4789602 14.088  0.027  A 13.869  0.034  A 13.936  0.068  A
   183603406 28.708999  0.250367  50660.4792602 14.092  0.026  A 13.928  0.039  A 13.806  0.068  A
   183603515 28.708997  0.250388  50660.4810604 14.029  0.028  A 14.000  0.040  A 13.785  0.063  A
   183606557 28.709024  0.250402  50660.4813604 14.089  0.026  A 13.997  0.039  A 13.989  0.071  A
   183606660 28.708991  0.250387  50660.4831606 14.081  0.029  A 13.950  0.039  A 13.932  0.072  A
   183608203 28.708982  0.250367  50660.4834606 14.056  0.028  A 13.924  0.038  A 13.929  0.069  A
   172418452 28.709012  0.250342  50695.3975612 14.518  0.031  A 14.367  0.048  A 14.231  0.092  A
   172437265 28.709005  0.250388  50695.3978612 14.512  0.032  A 14.291  0.047  A 14.269  0.094  A
   172437383 28.708993  0.250353  50695.3996613 14.561  0.038  A 14.291  0.043  A 14.114  0.083  A
   172440672 28.708982  0.250400  50695.3999613 14.522  0.033  A 14.273  0.047  A 14.009  0.079  A
   172440788 28.709019  0.250373  50695.4016614 14.523  0.030  A 14.259  0.042  A 14.318  0.098  A
   172444071 28.708982  0.250391  50695.4020615 14.518  0.035  A 14.214  0.046  A 14.149  0.087  A
   172444184 28.708987  0.250378  50695.4831669 14.069  0.027  A 13.977  0.040  A 13.955  0.076  A
   180808252 28.708983  0.250378  50695.4835669 14.088  0.031  A 13.974  0.041  A 13.931  0.073  A
   180808330 28.709002  0.250399  50695.4852671 14.042  0.027  A 14.029  0.039  A 13.948  0.076  A
   180811410 28.708992  0.250368  50695.4855671 14.081  0.028  A 13.912  0.038  A 14.002  0.075  A
   180811513 28.708994  0.250379  50695.4872672 14.117  0.031  A 13.964  0.041  A 13.867  0.078  A
   180814597 28.709014  0.250380  50695.4876672 14.042  0.030  A 14.040  0.036  A 13.950  0.082  A
   180814708 28.709021  0.250371  50696.4635321 14.359  0.029  A 14.067  0.035  A 13.927  0.071  A
   180829776 28.709041  0.250367  50696.4638322 14.318  0.030  A 14.052  0.040  A 13.878  0.064  A
