# Catalina Sky Survey light curve for RR Lyrae star SDSSJ015450+001501 (270 epochs) 
# Extracted by Zeljko Ivezic from http://nunuku.cacr.caltech.edu/cgi-bin/getcssconedb_release_img.cgi
# NB CSS period search tool returns an incorrect value: 3.5261664 days for the most probable period.
# The correct period (0.6369815) is returned as the third most probable value 
# 
#   MJD          Mag     Mag_err
53710.18424     15.44     0.06
53710.19176     15.46     0.06
53710.19926     15.45     0.06
53710.20674     15.49     0.06
53733.16550     15.50     0.06
53733.17245     15.48     0.06
53733.17943     15.47     0.06
53733.18663     15.47     0.06
53677.25689     14.72     0.06
53677.26283     14.73     0.06
53677.26880     14.75     0.06
53677.27475     14.76     0.06
53696.25641     15.26     0.06
53696.26282     15.13     0.06
53696.26921     14.97     0.06
53696.27564     14.87     0.06
53703.12114     15.36     0.06
53703.13406     15.34     0.06
53703.14051     15.35     0.06
53648.33976     15.35     0.06
53671.27197     15.31     0.06
53671.27732     15.36     0.06
53671.28268     15.34     0.06
53671.28805     15.35     0.06
53627.38165     15.48     0.06
53627.39086     15.46     0.06
53627.40014     15.43     0.06
53627.40919     15.49     0.06
53637.44682     15.37     0.06
53637.45523     15.33     0.06
53637.46370     15.36     0.06
53637.47215     15.34     0.06
54080.25289     15.36     0.06
54080.25960     15.37     0.06
54080.26637     15.41     0.06
54080.27309     15.37     0.06
54090.15388     15.04     0.06
54090.16165     15.06     0.06
54090.16941     15.08     0.06
54090.17718     15.12     0.06
53773.11728     15.30     0.06
53773.12267     15.33     0.06
53773.12800     15.28     0.06
53773.13335     15.31     0.06
53741.11359     15.08     0.09
53741.12209     15.14     0.09
53741.13063     15.09     0.09
53741.13914     15.13     0.09
53763.09522     15.49     0.06
53763.10331     15.50     0.06
53763.11138     15.49     0.06
53763.11950     15.48     0.06
54052.18372     15.32     0.06
54052.19069     15.31     0.06
54052.19767     15.33     0.06
54052.20466     15.34     0.06
54058.21024     14.80     0.06
54058.21686     14.82     0.06
54058.22346     14.83     0.06
54058.23007     14.86     0.06
54024.26810     15.47     0.06
54024.27587     15.46     0.06
54024.28367     15.43     0.06
54024.29148     15.35     0.06
54030.30517     15.08     0.06
54030.31160     15.08     0.06
54030.31806     15.11     0.06
54030.32457     15.13     0.06
53996.33348     14.51     0.06
53996.34149     14.53     0.06
53996.34958     14.55     0.06
53996.35764     14.57     0.06
54004.38795     15.30     0.06
54004.39672     15.28     0.06
54004.40549     15.33     0.06
54004.41426     15.32     0.06
54440.11019     15.31     0.06
54440.11659     15.31     0.06
54440.12317     15.33     0.06
54440.12959     15.33     0.06
54411.20428     15.07     0.06
54411.21286     15.06     0.06
54411.22143     15.09     0.06
54411.23000     15.11     0.06
54421.26097     14.71     0.06
54421.27024     14.72     0.06
54421.27941     14.75     0.06
54421.28861     14.79     0.06
54383.30737     15.24     0.06
54383.31390     15.25     0.06
54383.32043     15.25     0.06
54383.32694     15.26     0.06
54392.30341     15.30     0.06
54392.31261     15.29     0.06
54392.32182     15.28     0.06
54392.33106     15.29     0.06
54404.26415     15.13     0.06
54404.27269     15.14     0.06
54404.27914     15.16     0.06
54404.28557     15.19     0.06
54346.42987     15.29     0.06
54346.43633     15.32     0.06
54346.44279     15.30     0.06
54346.44922     15.31     0.06
54354.35204     14.58     0.06
54354.35857     14.60     0.06
54354.36507     14.63     0.06
54354.37159     14.64     0.06
54801.22249     15.30     0.06
54801.23037     15.32     0.06
54801.23829     15.30     0.06
54801.24621     15.30     0.06
54831.15535     15.30     0.06
54831.16494     15.33     0.06
54831.17453     15.33     0.06
54831.18416     15.30     0.06
54477.11490     15.41     0.06
54477.12134     15.41     0.06
54477.12776     15.45     0.06
54477.13420     15.44     0.06
54778.24108     15.23     0.06
54778.25444     15.24     0.06
54778.26790     15.26     0.06
54778.28135     15.31     0.06
54789.18286     15.33     0.06
54789.19102     15.31     0.06
54789.19928     15.33     0.06
54789.20748     15.36     0.06
54768.29063     15.33     0.06
54768.29737     15.26     0.06
54768.30407     15.11     0.06
54768.31063     14.95     0.06
54716.39734     15.18     0.06
54716.40392     15.20     0.06
54716.41043     15.20     0.06
54716.41701     15.21     0.06
54730.42132     15.19     0.06
54730.42780     15.17     0.06
54730.43429     15.19     0.06
54730.44078     15.21     0.06
54738.35115     15.38     0.06
54738.36200     15.21     0.06
54738.37291     14.96     0.06
54738.38377     14.82     0.06
55061.39275     14.57     0.06
55061.39986     14.60     0.06
55061.40696     14.61     0.06
55061.41393     14.63     0.06
55073.34538     15.47     0.07
55073.35126     15.45     0.07
55073.35704     15.49     0.07
55073.36287     15.51     0.07
54850.09939     15.08     0.06
54850.10534     15.09     0.06
54850.11123     15.09     0.06
54850.11716     15.09     0.06
55143.31553     15.32     0.06
55143.32214     15.31     0.06
55143.32884     15.32     0.06
55143.33536     15.32     0.06
55158.17487     14.58     0.06
55158.18081     14.55     0.06
55158.18686     14.53     0.06
55158.19278     14.52     0.06
55158.19877     14.54     0.06
55120.38042     15.33     0.06
55120.38653     15.32     0.06
55120.39268     15.32     0.06
55120.39880     15.22     0.06
55534.26686     14.82     0.06
55534.28074     15.15     0.06
55534.28774     15.18     0.06
55245.09213     15.18     0.06
55245.09439     15.20     0.06
55245.09664     15.20     0.06
55245.09893     15.21     0.06
55208.09820     15.12     0.06
55208.10561     15.16     0.06
55208.11305     15.14     0.06
55208.12047     15.15     0.06
55506.31589     15.24     0.06
55506.33396     15.26     0.06
55506.34309     15.29     0.06
55514.25198     14.53     0.06
55514.26590     14.51     0.06
55514.27285     14.51     0.06
55528.21699     15.27     0.06
55528.23067     14.99     0.06
55528.23763     14.86     0.06
55472.38634     14.93     0.06
55472.39819     14.93     0.06
55472.40409     14.95     0.06
55480.28770     15.29     0.06
55480.30164     15.30     0.06
55480.30867     15.28     0.06
55498.29613     14.88     0.06
55498.30989     14.72     0.06
55498.31682     14.62     0.06
55577.18399     15.41     0.06
55577.19127     15.45     0.07
55577.19860     15.44     0.07
55577.20588     15.44     0.07
55589.11396     15.23     0.06
55589.11857     15.22     0.06
55589.12311     15.25     0.06
55589.12769     15.25     0.06
53648.34388     15.33     0.06
53648.35312     15.36     0.06
53648.36240     15.37     0.06
53648.37163     15.39     0.06
55824.41821     15.17     0.06
55824.42502     15.02     0.06
55824.43182     14.88     0.06
55824.43856     14.82     0.06
55861.24752     15.41     0.06
55861.25444     15.41     0.06
55861.26138     15.42     0.06
55861.26829     15.43     0.06
55834.28337     15.16     0.06
55834.29077     15.16     0.06
55834.29826     15.10     0.13
55834.30564     15.25     0.07
55881.21556     14.66     0.06
55881.22058     14.71     0.06
55881.22571     14.71     0.06
55881.23081     14.74     0.06
55851.19454     14.77     0.06
55851.20135     14.68     0.06
55851.20817     14.59     0.06
55851.21497     14.51     0.06
55893.18143     15.48     0.06
55893.18657     15.47     0.06
55893.19171     15.46     0.06
55893.19692     15.41     0.06
56191.37078     14.51     0.06
56191.37575     14.52     0.06
56191.38079     14.53     0.06
56191.38585     14.54     0.06
56206.39687     15.30     0.06
56206.40368     15.30     0.06
56206.41045     15.34     0.06
56206.41730     15.36     0.06
56213.34436     15.23     0.06
56213.35119     15.23     0.06
56213.35799     15.25     0.06
56213.36475     15.25     0.06
56223.23218     14.54     0.06
56223.23816     14.56     0.06
56223.24415     14.57     0.06
56223.25018     14.59     0.06
56233.22156     15.32     0.06
56233.23169     15.30     0.06
56233.24185     15.32     0.06
56233.25205     15.38     0.06
56253.14726     14.55     0.06
56253.15231     14.53     0.06
56253.15736     14.50     0.06
56253.16243     14.51     0.06
56265.21511     15.06     0.06
56265.22050     14.91     0.06
56265.22590     14.86     0.06
56265.23135     14.77     0.06
56273.16750     15.15     0.06
56273.17362     15.16     0.06
56273.17974     15.17     0.06
56273.18587     15.16     0.06
56297.11353     14.50     0.06
56297.12046     14.50     0.06
56297.12718     14.52     0.06
56297.13391     14.53     0.06
