#   LINEAR light curves for RR Lyrae star SDSSJ015450+001501 (225 epochs) 
#   LINEAR ID = 25154736 
#   For details, see Sesar et al. 2011 (AJ 142, 190) and Sesar et al. 2013 (AJ 146, 21)
#           mjd           mag     magErr
        52608.145642    15.559     0.257
        52608.175414    15.424     0.024
        52622.130242    15.243     0.098
        52641.151309    15.281     0.020
        52641.166493    15.241     0.017
        52641.181789    15.247     0.017
        52641.197409    15.325     0.017
        52641.212990    15.364     0.018
        52644.093021    14.780     0.015
        52644.109900    14.842     0.013
        52644.126784    14.895     0.015
        52644.143333    14.909     0.015
        52667.086272    14.985     0.013
        52667.101437    15.017     0.015
        52667.116577    15.059     0.015
        52667.131952    15.105     0.015
        52667.147116    15.244     0.017
        52852.395433    14.890     0.039
        52852.405977    14.884     0.017
        52852.416971    14.906     0.017
        52852.427518    14.956     0.017
        52852.438189    14.994     0.022
        52874.356189    15.356     0.026
        52874.368403    15.329     0.026
        52874.380820    15.354     0.030
        52874.392937    15.355     0.026
        52874.405399    15.361     0.026
        52884.313405    15.059     0.022
        52884.325021    15.043     0.020
        52884.336609    15.090     0.020
        52884.348254    15.111     0.022
        52884.359791    15.120     0.020
        52901.356253    14.574     0.011
        52901.368699    14.640     0.011
        52901.381327    14.687     0.013
        52901.393631    14.722     0.013
        52901.405901    14.772     0.013
        52932.313875    15.354     0.018
        52972.189645    15.012     0.015
        52972.202770    15.004     0.013
        52972.216089    15.047     0.013
        52972.229253    15.084     0.013
        52972.242326    15.099     0.013
        52987.138846    15.394     0.017
        52987.151664    15.385     0.017
        52987.164775    15.431     0.030
        52987.177684    15.464     0.033
        52987.190534    15.481     0.033
        53033.088616    15.478     0.041
        53033.100880    15.522     0.046
        53033.113102    15.470     0.059
        53033.125366    15.661     0.089
        53033.137487    15.513     0.061
        53226.395122    15.061     0.018
        53226.404804    15.117     0.018
        53226.414338    15.146     0.018
        53226.423853    15.106     0.020
        53226.433337    15.160     0.020
        53256.297495    15.015     0.015
        53256.320902    15.063     0.016
        53256.332953    15.104     0.016
        53285.378872    15.505     0.028
        53296.256875    14.774     0.020
        53296.268869    14.198     0.018
        53296.280911    14.114     0.013
        53296.293753    14.403     0.015
        53296.306243    13.458     0.013
        53315.245012    15.471     0.022
        53315.256872    15.514     0.050
        53315.268738    15.519     0.026
        53315.280597    15.529     0.050
        53315.292456    15.527     0.085
        53316.195467    15.029     0.049
        53321.196913    14.796     0.013
        53321.208806    14.848     0.013
        53321.220792    14.892     0.013
        53321.232685    14.889     0.013
        53321.244577    14.939     0.013
        53327.190914    15.310     0.028
        53327.203785    15.358     0.025
        53327.229207    15.424     0.026
        53327.241976    15.305     0.046
        53329.186803    15.574     0.153
        53329.200934    15.333     0.086
        53329.215097    15.627     0.221
        53346.186086    15.149     0.015
        53346.199760    15.194     0.015
        53346.212839    15.161     0.015
        53346.224977    15.188     0.015
        53346.237139    15.240     0.015
        53351.148926    14.837     0.015
