# WISE light curves for RR Lyrae star SDSSJ015450+001501 (43 epochs) 
# Extracted by Roc Cutri (IPAC)
#    mjd     w1mpro w1sig w2mpro w2sig
55209.272845 13.853 0.047 14.016 0.126
55209.405150 13.828 0.052 13.770 0.119
55209.537582 13.894 0.052 14.139 0.161
55209.669887 14.215 0.061 14.200 0.169
55209.736103 14.079 0.058 14.352 0.174
55209.802191 13.844 0.048 13.996 0.146
55210.000712 13.819 0.046 13.908 0.147
55210.133017 13.957 0.051 13.998 0.150
55396.071288 13.897 0.050 13.924 0.160
55396.203592 13.870 0.049 13.998 0.150
55396.335896 14.132 0.056 14.252 0.187
55396.468199 13.818 0.047 13.954 0.140
55396.534288 13.888 0.051 14.028 0.142
55396.600504 13.869 0.051 14.170 0.156
55396.666592 13.902 0.049 13.602 0.100
55396.732807 13.882 0.050 13.890 0.125
55396.798896 13.920 0.049 13.787 0.114
55396.931199 14.077 0.054 14.409 0.191
55397.063503 13.816 0.050 13.928 0.138
55397.195807 13.899 0.048 13.973 0.123
55571.760619 13.808 0.047 14.187 0.172
55571.892924 13.989 0.091 13.941 0.158
55572.025228 13.898 0.050 13.949 0.132
55572.157405 14.230 0.062 14.190 0.175
55572.223621 14.097 0.071 14.132 0.165
55572.289709 13.926 0.062 14.234 0.185
55572.355798 13.910 0.056 13.757 0.128
55572.422014 13.922 0.056 13.693 0.120
55572.488102 13.876 0.048 13.469 0.100
55572.620407 13.769 0.051 14.255 0.214
55572.752584 14.102 0.059 13.715 0.127
55574.273639 13.846 0.054 13.646 0.157
55574.405943 13.968 0.059 13.435 0.153
55574.538121 14.121 0.063 14.129 0.222
55574.670425 14.107 0.060 14.385 0.301
55574.736514 13.934 0.061 13.669 0.152
55574.802602 13.932 0.056 14.251 0.242
55574.802729 13.840 0.056 13.763 0.163
55574.868818 13.938 0.056 13.446 0.132
55575.000995 13.892 0.059 13.554 0.173
55575.001122 14.039 0.067 13.940 0.242
55575.133299 13.929 0.057 13.879 0.249
55575.265604 14.023 0.058 13.552 0.136
