#
# Ground-based BVRcIc photometry of Kepler Cepheid
# V1154 Cygni and Cepheid candidates
#
# SRO: Sonoita Research Obs.  LOT: Lulin One-meter Telescope 
# SLT: SLT, lulin Obs.        TNG: Tenagra Obs.
#
# KIC ID      HJD            magnitude  mag_err  Filter   Observatory
#
02968811   2455103.7700		14.857  0.013   B  SRO
02968811   2455103.7809 	14.823  0.013   B  SRO
02968811   2455104.7544 	14.797  0.011   B  SRO
02968811   2455104.7653 	14.786  0.011   B  SRO
02968811   2455105.7392 	14.830  0.013   B  SRO
02968811   2455105.7500 	14.816  0.012   B  SRO
02968811   2455106.7685 	14.839  0.014   B  SRO
02968811   2455106.7793 	14.830  0.014   B  SRO
02968811   2455109.7612 	14.912  0.023   B  SRO
02968811   2455109.7720 	14.898  0.027   B  SRO
02968811   2455137.6534 	14.895  0.014   B  SRO
02968811   2455137.6643 	14.916  0.014   B  SRO
02968811   2455139.6566 	14.964  0.015   B  SRO
02968811   2455139.6675 	14.966  0.015   B  SRO
02968811   2455248.0022 	15.064  0.013   B  SRO
02968811   2455253.9769 	14.817  0.009   B  SRO
02968811   2455253.9991 	14.820  0.008   B  SRO
02968811   2455257.9718 	14.964  0.045   B  SRO
02968811   2455257.9895 	14.935  0.032   B  SRO
02968811   2455258.9710 	13.103  0.012   B  SRO
02968811   2455258.9888 	14.952  0.013   B  SRO
02968811   2455261.9710 	13.927  0.008   B  SRO
02968811   2455261.9887 	15.038  0.013   B  SRO
02968811   2455264.9695 	14.948  0.010   B  SRO
02968811   2455264.9871 	14.929  0.009   B  SRO
02968811   2455265.9656 	14.891  0.013   B  SRO
02968811   2455265.9831 	14.891  0.012   B  SRO
02968811   2455269.9620 	14.883  0.009   B  SRO
02968811   2455269.9796 	14.899  0.009   B  SRO
02968811   2455271.9591 	14.945  0.009   B  SRO
02968811   2455271.9767 	14.933  0.010   B  SRO
02968811   2455272.9582 	14.965  0.008   B  SRO
02968811   2455272.9758 	14.975  0.009   B  SRO
02968811   2455273.9619 	14.970  0.010   B  SRO
02968811   2455273.9795 	14.953  0.009   B  SRO
02968811   2455274.9588 	14.996  0.009   B  SRO
02968811   2455274.9764 	14.966  0.008   B  SRO
02968811   2455275.9582 	15.007  0.009   B  SRO
02968811   2455275.9758 	14.959  0.009   B  SRO
02968811   2455277.9536 	15.048  0.021   B  SRO
02968811   2455277.9712 	15.048  0.025   B  SRO
02968811   2455278.3716         14.989  0.005   B  LOT
02968811   2455278.3357         14.976  0.005   B  LOT
02968811   2455279.3398         14.917  0.007   B  LOT
02968811   2455385.3085         14.832  0.004   B  LOT
02968811   2455408.2658         15.051  0.004   B  LOT
02968811   2455271.3375         15.029  0.092   B  SLT
02968811   2455272.3438         14.973  0.035   B  SLT
02968811   2455273.3398         15.054  0.038   B  SLT
02968811   2455298.3140         14.823  0.027   B  SLT
02968811   2455298.3588         14.868  0.023   B  SLT
02968811   2455298.2695         14.789  0.041   B  SLT
02968811   2455299.3266         14.904  0.021   B  SLT
02968811   2455299.2842         14.928  0.034   B  SLT
02968811   2455300.2828         14.925  0.038   B  SLT
02968811   2455312.2045         14.831  0.025   B  SLT
02968811   2455317.1810         14.980  0.021   B  SLT
02968811   2455317.3634         15.010  0.042   B  SLT
02968811   2455330.2257         14.936  0.012   B  SLT
02968811   2455333.3448         15.019  0.016   B  SLT
02968811   2455388.3391         14.850  0.026   B  SLT
02968811   2455390.2596         14.977  0.019   B  SLT
02968811   2455392.3073         14.963  0.020   B  SLT
02968811   2455393.3092         15.050  0.025   B  SLT
02968811   2455416.2817         14.819  0.027   B  SLT
02968811   2455421.2600         14.991  0.021   B  SLT
02968811   2455422.2505         15.013  0.023   B  SLT
02968811   2455423.2413         15.041  0.021   B  SLT
02968811   2455425.2468         15.200  0.028   B  SLT
02968811   2455428.2280         14.985  0.025   B  SLT
02968811   2455429.2260         14.803  0.028   B  SLT
02968811   2455283.0100         14.724  0.037   B  TNG
02968811   2455285.0080         14.790  0.041   B  TNG
02968811   2455286.0058         14.822  0.032   B  TNG
02968811   2455287.0061         14.906  0.040   B  TNG
02968811   2455289.0034         14.833  0.051   B  TNG
02968811   2455290.0038         14.952  0.033   B  TNG
02968811   2455291.0022         15.010  0.040   B  TNG
02968811   2455292.0019         15.028  0.040   B  TNG
02968811   2455293.0011         15.049  0.035   B  TNG
02968811   2455293.9989         14.900  0.043   B  TNG
02968811   2455294.9992         14.915  0.035   B  TNG
02968811   2455295.9883         14.826  0.028   B  TNG
02968811   2455296.9964         14.792  0.029   B  TNG
02968811   2455299.9949         14.841  0.027   B  TNG
02968811   2455300.9946         14.925  0.026   B  TNG
02968811   2455301.9928         14.908  0.030   B  TNG
02968811   2455302.9921         15.037  0.052   B  TNG
02968811   2455303.9908         14.913  0.028   B  TNG
02968811   2455306.9887         15.026  0.026   B  TNG
02968811   2455318.9797         15.024  0.016   B  TNG
02968811   2455319.9790         14.997  0.015   B  TNG
02968811   2455320.9782         15.077  0.014   B  TNG
02968811   2455321.9781         15.065  0.012   B  TNG
02968811   2455322.9778         15.019  0.013   B  TNG
02968811   2455323.9766         14.943  0.012   B  TNG
02968811   2455324.9728         14.886  0.024   B  TNG
02968811   2455325.9708         14.805  0.010   B  TNG
02968811   2455326.9677         14.793  0.012   B  TNG
02968811   2455327.9651         14.820  0.011   B  TNG
02968811   2455329.9598         14.884  0.007   B  TNG
02968811   2455330.9578         14.933  0.008   B  TNG
02968811   2455332.9511         14.976  0.007   B  TNG
02968811   2455333.9488         15.036  0.008   B  TNG
02968811   2455334.9462         15.060  0.008   B  TNG
02968811   2455335.9444         15.049  0.008   B  TNG
02968811   2455336.9409         15.066  0.009   B  TNG
02968811   2455338.9353         14.954  0.007   B  TNG
02968811   2455339.9329         14.871  0.007   B  TNG
02968811   2455342.9246         14.833  0.007   B  TNG
02968811   2455343.9221         14.901  0.008   B  TNG
02968811   2455346.9130         14.967  0.009   B  TNG
02968811   2455347.9107         15.013  0.008   B  TNG
