#
# V2279 Cygni O-C data 
#
# HJD-2400000   E  O-C [d] weight  Reference
#
51474.9729 -843   -1.7218   2   NSVS           
52626.3311 -564   -1.4177   1   Integral OMC   
53051.2057 -461   -1.4842   3   Schmidt et al. 
53368.6341 -384   -1.7304   1   Schmidt et al. 
54265.3816 -191   -1.2317   1   SWASP          
54645.2207  -75    0.0030   1   SWASP          
54954.6214    0    0.0105   5   Kepler         
54958.7357    1   -0.0008   5   Kepler         
54962.8488    2   -0.0134   5   Kepler         
54966.9773    3   -0.0105   5   Kepler         
54971.1120    4   -0.0015   5   Kepler         
54975.2328    5   -0.0063   5   Kepler         
54979.3650    6    0.0002   5   Kepler         
54983.4952    7    0.0048   5   Kepler         
54987.6274    8    0.0114   5	Kepler         
54991.7572    9    0.0155   5	Kepler         
54995.8808   10    0.0135   5	Kepler         
55004.1313   12    0.0127   5	Kepler         
55008.2480   13    0.0038   5	Kepler         
55012.3703   14    0.0004   5	Kepler         
55020.6424   16    0.0212   5	Kepler         
55024.7606   17    0.0138   5	Kepler         
55028.8707   18   -0.0018   5	Kepler         
55032.9975   19   -0.0006   5	Kepler         
55037.1076   20   -0.0161   5	Kepler         
55041.2437   21   -0.0057   5	Kepler         
55045.3717   22   -0.0033   5	Kepler         
55049.5054   23    0.0047   5   Kepler	      
55053.6334   24    0.0071   5   Kepler	      
55057.7544   25    0.0025   5   Kepler	      
55061.8840   26    0.0064   5   Kepler	      
55066.0079   27    0.0047   5   Kepler	      
55070.1166   28   -0.0123   5   Kepler 	
55074.2461   29   -0.0084   5   Kepler 	
55078.3671   30   -0.0131   5   Kepler 	
55082.5081   31    0.0023   5   Kepler         
55086.6241   32   -0.0073   5   Kepler         
55090.7495   33   -0.0076   5   Kepler         
55094.8880   34    0.0053   5   Kepler         
55099.0085   35    0.0001   5   Kepler         
55103.1319   36   -0.0021   5   Kepler 	
55107.2520   37   -0.0076   5   Kepler
55111.3773   38   -0.0080   5   Kepler
55115.4982   39   -0.0127   5   Kepler
55119.6277   40   -0.0089   5   Kepler
55127.8756   42   -0.0123   5   Kepler
55132.0099   43   -0.0036   5   Kepler
55136.1418   44    0.0027   5   Kepler
55140.2648   45    0.0000   5   Kepler
55144.3897   46   -0.0007   5   Kepler
55148.5290   47    0.0129   5	Kepler
55152.6515   48    0.0098   5	Kepler
55160.8973   50    0.0043   5	Kepler
55165.0203   51    0.0017   5	Kepler
55169.1383   52   -0.0060   5   Kepler
55173.2592   53   -0.0107   5   Kepler
55177.3911   54   -0.0045   5   Kepler
55181.5161   55   -0.0051   5   Kepler
55185.6307   56   -0.0162   5   Kepler
55189.7711   57   -0.0014   5   Kepler
55193.9137   58    0.0156   5   Kepler
55198.0195   59   -0.0043   5   Kepler
55202.1584   60    0.0090   5	Kepler
55206.2745   61    0.0006   5	Kepler
55210.4020   62    0.0013   5	Kepler
55214.5296   63    0.0033   5	Kepler
55218.6326   64   -0.0194   5   Kepler
55222.7917   65    0.0141   5   Kepler
55226.9009   66   -0.0024   5   Kepler
55235.1426   68   -0.0120   5   Kepler
55239.2702   69   -0.0100   5   Kepler
55243.4248   70    0.0190   5	Kepler
55247.5459   71    0.0144   5	Kepler
55251.6711   72    0.0140   5	Kepler
55255.7988   73    0.0160   5	Kepler
55259.9220   74    0.0136   5	Kepler
55264.0206   75   -0.0135   5   Kepler
55268.1504   76   -0.0093   5   Kepler
55272.3050   77    0.0197   5	Kepler
55325.9806   90    0.0619   2	this paper, Tenagra
55338.4041   93    0.1085   2	this paper, Lulin
